id	ER	ER_slope	OGsize	numberTMs	TMidentity
A0A087WTH1	0.998102198805415	0.003775544295154293	29	2	38.8888888888889
A0A087X1C5	1.0106377652323	0.0013607423450223445	50	2	8.15533980582524
A0A096LP01	0.970186335403727	-0.014012422360248458	1	1	24.2105263157895
A0A1B0GTI8	0.990659607337245	-0.007002298459896854	8	2	34.7107438016529
A0A1B0GTK4	0.994457440062216	-0.0016709633560388175	15	1	9.39226519337017
A0A1B0GTU2	0.989571203856918	-0.005245834152253903	7	1	35.5932203389831
A0A1B0GTY4	0.98677381681383	-0.00022419546603373586	6	1	11.864406779661
A0A1B0GUA5	1.04489255282906	0.009816142582525578	3	1	20.3883495145631
A0A1B0GUA7	1.09964430131073	0.01743954599003661	28	1	10.2409638554217
A0A1B0GUU1	1.05014066159375	0.01007073861882294	25	1	3.11111111111111
A0A1B0GUW6	1.02250313075559	0.01043085032049957	5	1	1.75585284280936
A0A1B0GV85	0.980380928582644	-0.0022157746936963506	7	1	3.61216730038023
A0A1B0GVN3	1.02240977572477	0.006502895807883666	4	1	7.92452830188679
A0A1B0GVV1	1.03579183269326	0.005118626724666626	6	1	24.7058823529412
A0A1B0GVZ9	1.05259677590658	0.011438217528704065	6	5	42.8571428571429
A0A1B0GWB2	1.11506523054616	0.01749425582956433	7	2	15.9695817490494
A0A1B0GWG4	1.10576414595452	0.014490496780414943	2	1	23.3333333333333
A0A5B9	1.03734382220079	0.010377298992960056	44	1	12.9213483146067
A0AV02	1.0307175702035	0.012287606004294795	25	13	39.0756302521008
A0AVI2	0.969645444670399	-0.007292076723792524	26	1	1.02090422946038
A0AVI4	0.989541116335642	-0.0014161708025300674	69	3	17.4033149171271
A0FGR8	1.05602196761294	0.006241887118481198	26	2	4.56026058631922
A0FGR9	1.02296015140537	0.0029792034784472798	37	2	4.74040632054176
A0PJK1	0.991562055816415	0.006832774017965192	51	14	49.3288590604027
A0PJW6	1.02891776773717	0.005891480668417647	19	2	20.7920792079208
A0PJX4	1.03592505689476	0.007467770886569607	65	1	8.82352941176471
A0PJX8	1.0297232794708	0.008699726820793346	17	8	49.2711370262391
A0PJZ3	1.00516637996933	-0.0008367622801134598	8	1	4.74040632054176
A0PK00	1.02432880523999	0.012447605070841845	72	6	37.7581120943953
A0PK05	0.986586194563084	0.006079507492429089	16	4	30.9090909090909
A0PK11	0.988116108779405	-0.0019013214442461822	84	4	36.2068965517241
A0ZSE6	1.08313483718558	0.014256930275484896	3	1	18.5840707964602
A1A5B4	0.988576332188144	0.008343430010862248	7	8	21.4833759590793
A1A5C7	1.06590089092174	0.013160085120635216	45	10	30.6122448979592
A1KXE4	0.944249054683443	0.005245475406878678	100	2	23.5897435897436
A1L0T0	0.950184724910713	-0.007814757927098797	75	1	3.32278481012658
A1L157	1.03853219012349	0.005916978144498809	30	4	33.201581027668
A1L1A6	0.904975117118757	-0.015632385700401017	8	1	10.9375
A1L3X0	0.960088840427136	-0.004751295986267902	59	7	52.6690391459075
A2A2V5	1.04725423062934	0.01146044125989036	53	1	19.6261682242991
A2A2Y4	1.06889787614736	0.014416765262094716	110	1	3.51758793969849
A2RRL7	1.07851120443382	0.013868205499617222	22	1	19.6261682242991
A2RU14	1.03560142561838	0.009873790350251722	12	3	54.7826086956522
A2RU48	1.06804668303746	0.009586496277009372	66	1	9.33333333333333
A2RU67	1.00870385516154	0.00020544335179683085	57	1	3.37620578778135
A2RUT3	1.00652349856795	0.0006940171102538511	14	1	14.4654088050314
A2VDJ0	1.06084822598929	0.016843202382129562	47	1	1.30515848353014
A4D0T7	1.04952791927582	0.009930217131897791	6	1	35.5932203389831
A4D1S0	1.08478105788669	0.011619871040626343	10	1	5.13447432762836
A4D256	0.953633193310137	-0.007977008275777173	31	1	4.69798657718121
A4D2G3	0.982934718103675	-0.0004448927082916487	15	7	48.7096774193548
A4IF30	1.02538213062292	0.013878905357710858	2	10	40.6909788867562
A5D6W6	1.02061347457405	0.0077591518254369815	90	6	43.1506849315069
A5PLK6	1.02222768143685	0.0033446285325344663	26	1	2.13754646840149
A5PLL7	0.941134667454935	-0.002873935015887909	77	3	23.3333333333333
A5X5Y0	1.03622880822408	0.0060914485620348225	19	4	18.4210526315789
A6BM72	1.0480547208454	0.008708285082528433	142	1	2.01149425287356
A6H8M9	1.06298844877982	0.01328935770925345	9	1	2.66497461928934
A6NC51	0.995313910300531	-0.0024950807887299527	10	6	54.0772532188841
A6NC97	1.0444983390009	0.008396809789581983	16	1	4.69613259668508
A6NCQ9	1.07384193117169	0.011299787625757514	37	1	9.54545454545455
A6NCV1	1.0482284385988	0.006721314345168894	30	7	47.1153846153846
A6ND48	1.06034087685344	0.009620952482685559	15	7	47.2668810289389
A6NDA9	1.0518606236143	0.008816436812977328	33	1	3.81818181818182
A6NDD5	1.04331842810246	0.0069474243459091405	28	2	17.6470588235294
A6NDL8	1.00241112911444	-0.00043818975297577826	6	7	47.1153846153846
A6NDP7	1.04035842417645	0.005453967078018124	73	7	47.8827361563518
A6NDV4	1.02961571965554	0.01246643708148521	114	7	30.9322033898305
A6NDX4	1.00980392156863	0.012156862745097804	1	1	16.9354838709677
A6NEH6	1.01989870201265	0.005049266544601858	18	2	19.1780821917808
A6NET4	1.03542657128443	0.0068148705391236145	18	7	45.7943925233645
A6NF34	1.0722853167426	0.02108906123697634	3	1	3.32805071315372
A6NF89	1.02073193374602	0.0029887835576660015	24	7	46.8152866242038
A6NFA0	1.05217949425747	0.01100675141506246	9	1	6.80473372781065
A6NFA1	0.776093079485639	-0.030287306008618	58	1	4.06189555125725
A6NFC5	0.853744169259308	0.007468478923025494	2	3	28.2511210762332
A6NFC9	1.02276524644946	0.008094309848695826	1	4	26.25
A6NFE2	0.972615195609116	-0.0014947042588873433	3	1	6.12244897959184
A6NFR6	1.09099256008891	0.015553984168234985	2	1	5.94900849858357
A6NFU0	0.955416017316073	-0.007935568107247309	18	1	5.08474576271187
A6NFX1	1.00237461502062	0.011243050178085797	24	10	41.6666666666667
A6NFY4	0.972778323821616	0.007356347879640429	16	5	25.1798561151079
A6NG13	0.991148845041735	-0.0005322620731935132	22	1	5.61497326203209
A6NGA9	0.996170303474326	0.005409605652295006	15	4	31.5018315018315
A6NGB0	1.07731716886543	0.010550059363002925	23	1	6.05187319884726
A6NGB7	1.01405726455744	0.002205147493004208	7	4	28.8659793814433
A6NGC4	1.0536580596671	0.009534544213729247	9	6	47.7272727272727
A6NGY5	1.02409521745343	0.0025130989503227594	9	7	46.0815047021944
A6NGZ8	1.06986095368417	0.013427752551068357	15	1	21.2121212121212
A6NH21	1.00734149020555	0.004902419876559673	14	10	40.3474903474903
A6NH52	0.961841811028704	-0.001452236367667836	57	4	39.4366197183099
A6NHA9	1.02952769649356	0.005376578486742123	8	7	47.5728155339806
A6NHG9	0.981582500671702	-0.002374034308637196	12	7	47.4193548387097
A6NHS7	1.03784764007961	0.0052191189179972355	16	1	6.17647058823529
A6NI61	1.02260745338388	0.003894645860581533	53	6	57.0135746606335
A6NI73	1.02915024317304	0.009483353367323678	9	1	7.02341137123746
A6NIJ9	1.0078856001078	0.0014106150616096777	3	7	46.1538461538462
A6NIL9	1.05174477818662	0.007363720832392	20	1	19.2660550458716
A6NIM6	1.02397581250609	0.004557577661283201	16	11	39.8963730569948
A6NJU9	1.05456873745681	0.011940286345974771	9	1	1.84534270650264
A6NJW4	1.0231816827286	0.0053373896417299605	22	1	7.63636363636364
A6NJY1	0.971374556648808	-0.0017190459497659076	8	7	52.1276595744681
A6NJY4	1.0455747955748	0.0066376808224991105	3	2	53.1645569620253
A6NJZ3	1.04174832478268	0.007025274410836031	4	7	46.1538461538462
A6NK97	1.01543263268724	0.006456385216032797	6	11	41.6216216216216
A6NKB5	0.99254372625453	0.006388044766419667	25	15	14.7402901263453
A6NKF7	1.02542372881356	0.01381355932203392	1	2	25.7668711656442
A6NKG5	1.00970550151516	-0.0005501379902250694	19	2	2.79823269513991
A6NKK0	1.03948800275233	0.006689608143696319	21	7	46.9648562300319
A6NKL6	1.04772371153615	0.011407975481568794	10	2	6.76328502415459
A6NKW6	1.04861076031671	0.010739758382165699	17	1	13.125
A6NL05	1.02222222222222	0.011777777777777722	2	1	13.2075471698113
A6NL08	1.06738218472844	0.009663782138696977	19	7	47.1153846153846
A6NL26	1.02272418161149	0.0073823539279089575	14	7	47.5728155339806
A6NL88	1.0734750674055	0.013456728330345861	42	1	3.90334572490706
