id	ER_ratio	TM_regions	multipass	number_of_SP	sequence_length	singlepass	typeI	typeII	TM01_start	TM_proportion	len_TMD_mean	TM01_lipo	lipo_mean_all_TM_res	lipo_last_TMD	Cell_membrane	Endoplasmic_reticulum	Golgi_apparatus	GPCR	olfactory_receptor	Glyco_number	binding_sites_number	nucleotide_bs_number	uniprot_KWs	C	F	P
A0A087WTH1	0.010993383603328879	2.0	True	0.0	108.0	False	False	False	33.0	40.74074074074074	22.0	0.002631578947368417	-0.01522727272727274	-0.0288	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Membrane', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	['response to biotic stimulus']
A0AVI4	-0.006040206158750472	2.0	True	0.0	362.0	False	False	False	56.0	12.154696132596685	22.0	0.24409090909090905	0.17431818181818184	0.10454545454545457	False	False	False	False	False	0.0	0.0	0.0	['Alternative splicing', 'Complete proteome', 'Endoplasmic reticulum', 'Membrane', 'Metal-binding', 'Polymorphism', 'Reference proteome', 'Transferase', 'Transmembrane', 'Transmembrane helix', 'Ubl conjugation pathway', 'Unfolded protein response', 'Zinc', 'Zinc-finger']	['intracellular', 'intrinsic component of membrane', 'membrane', 'cytoplasm', 'cellular_component']	['transferase activity', 'metal ion binding']	['transport', 'response to chemical', 'metabolic process', 'biological_process', 'proteolysis', 'response to stress']
A0PJK1	0.00683561866889051	14.0	True	0.0	596.0	False	False	False	16.0	50.50335570469798	21.5	0.19217391304347825	0.2557142857142857	0.0938095238095238	False	False	False	False	False	2.0	0.0	0.0	['Alternative splicing', 'Cell membrane', 'Complete proteome', 'Glycoprotein', 'Ion transport', 'Membrane', 'Phosphoprotein', 'Polymorphism', 'Reference proteome', 'Sodium', 'Sodium transport', 'Transmembrane', 'Transmembrane helix', 'Transport']	['plasma membrane', 'intrinsic component of membrane', 'membrane', 'cellular_component', 'extracellular region']	['transporter activity', 'molecular_function']	['biological_process', 'transport']
A0PJW6	0.0029213006301782034	2.0	True	0.0	202.0	False	False	False	47.0	21.28712871287129	21.5	0.13190476190476189	0.08186046511627906	0.03409090909090905	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Membrane', 'Polymorphism', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane', 'cytoplasm', 'intracellular', 'cellular_component']	[]	['biological_process']
A0PJX8	0.004572357937934842	5.0	True	0.0	343.0	False	False	False	30.0	23.32361516034985	16.0	0.1384615384615384	0.16675	0.1757894736842105	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Membrane', 'Polymorphism', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	[]
A0PK05	0.013218791522056373	4.0	True	0.0	275.0	False	False	False	13.0	28.72727272727273	19.75	0.335	0.23240506329113925	0.17619047619047618	False	False	False	False	False	0.0	0.0	0.0	['Alternative splicing', 'Complete proteome', 'Membrane', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	[]
A0PK11	-0.005099032692497443	4.0	True	0.0	232.0	False	False	False	8.0	40.94827586206897	23.75	-0.030869565217391287	0.05136842105263157	0.3334782608695653	False	False	False	False	False	1.0	0.0	0.0	['Complete proteome', 'Glycoprotein', 'Membrane', 'Polymorphism', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	[]
A1A5C7	0.015045871466116188	12.0	True	0.0	686.0	False	False	False	99.0	37.900874635568506	21.66666666666667	0.3059090909090909	0.15065384615384614	0.1122727272727273	False	False	False	False	False	2.0	0.0	0.0	['Alternative splicing', 'Complete proteome', 'Glycoprotein', 'Ion transport', 'Membrane', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Transport']	['intrinsic component of membrane']	['transporter activity', 'molecular_function']	[]
A1L157	0.005404192800409964	4.0	True	0.0	253.0	False	False	False	18.0	32.80632411067194	20.75	0.05458333333333332	0.06626506024096385	0.12791666666666668	False	False	False	False	False	1.0	0.0	0.0	['Complete proteome', 'Glycoprotein', 'Membrane', 'Polymorphism', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane', 'plasma membrane', 'cellular_component', 'membrane']	[]	['biological_process', 'signal transduction']
A1L1A6	-0.004142438211021266	1.0	False	0.0	192.0	True	False	False	155.0	12.5	24.0	-0.08291666666666664	-0.08291666666666664	-0.08291666666666664	False	False	False	False	False	1.0	0.0	0.0	['Complete proteome', 'Glycoprotein', 'Immunoglobulin domain', 'Membrane', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	[]
A1L3X0	-0.0008103788475418539	7.0	True	0.0	281.0	False	False	False	35.0	46.97508896797154	18.857142857142858	0.4590476190476191	0.3737121212121212	-0.04700000000000003	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Endoplasmic reticulum', 'Fatty acid biosynthesis', 'Fatty acid metabolism', 'Lipid biosynthesis', 'Lipid metabolism', 'Membrane', 'Reference proteome', 'Transferase', 'Transmembrane', 'Transmembrane helix']	['intracellular', 'intrinsic component of membrane', 'membrane', 'cytoplasm', 'cellular_component']	['transferase activity']	['lipid metabolic process', 'biological_process', 'biosynthetic process', 'metabolic process', 'small molecule metabolic process', 'nitrogen compound metabolic process']
A2A2V5	0.007415770232245676	1.0	False	0.0	107.0	True	False	False	42.0	20.560747663551396	22.0	-0.22909090909090904	-0.22909090909090904	-0.22909090909090904	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Membrane', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane', 'intracellular', 'cellular_component']	[]	[]
A2A2Y4	-0.005474226799452594	1.0	False	0.0	597.0	True	False	False	533.0	3.015075376884422	18.0	-0.18666666666666668	-0.18666666666666668	-0.18666666666666668	False	False	False	False	False	0.0	0.0	0.0	['Alternative splicing', 'Complete proteome', 'Membrane', 'Polymorphism', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane', 'intracellular', 'cellular_component']	['protein binding', 'molecular_function']	['cellular component organization or biogenesis', 'biological_process']
A2RRL7	0.01577984014532736	1.0	False	0.0	107.0	True	True	False	76.0	17.75700934579439	19.0	0.2126315789473684	0.2126315789473684	0.2126315789473684	False	False	False	False	False	0.0	0.0	0.0	['Alternative splicing', 'Complete proteome', 'Membrane', 'Reference proteome', 'Signal', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	[]
A2RU67	0.005215426377840323	1.0	False	0.0	622.0	True	False	False	104.0	3.697749196141479	23.0	-0.05826086956521743	-0.05826086956521743	-0.05826086956521743	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Membrane', 'Phosphoprotein', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	[]
A2VDJ0	0.012887892024444993	1.0	False	0.0	1609.0	True	True	False	870.0	1.3673088875077688	22.0	0.09681818181818183	0.09681818181818183	0.09681818181818183	False	False	False	False	False	6.0	0.0	0.0	['Alternative splicing', 'Cell membrane', 'Complete proteome', 'Cytoplasm', 'Endoplasmic reticulum', 'Glycoprotein', 'Membrane', 'Phosphoprotein', 'Polymorphism', 'Reference proteome', 'Signal', 'Transmembrane', 'Transmembrane helix', 'Wnt signaling pathway']	['plasma membrane', 'intracellular', 'intrinsic component of membrane', 'cytoplasm', 'cellular_component']	[]	['biological_process', 'cell adhesion', 'signal transduction']
A4D1S0	0.0029615627689524816	1.0	False	0.0	409.0	True	False	False	260.0	5.8679706601467005	24.0	-0.07	-0.07	-0.07	False	False	False	False	False	0.0	0.0	0.0	['Alternative splicing', 'Complete proteome', 'Disulfide bond', 'Lectin', 'Membrane', 'Phosphoprotein', 'Polymorphism', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	['carbohydrate binding']	[]
